202tabanP;2021tabanY;2022tabanP;2022tabanY;2023tabanP;2023tabanY
407,6456;4,65;434,0028;4,73;461,7642;4,42
407,2238;4,7;434;4,74;461,4913;4,46
407,0681;4,72;433,9774;4,73;461,4634;4,47
406,7774;4,75;433,8395;4,75;461,4155;4,47
406,6179;4,77;433,8374;4,75;461,2411;4,5
406,6114;4,77;433,7129;4,76;461,0923;4,53
406,2615;4,82;433,6902;4,77;461,0477;4,53
406,1402;4,83;433,6615;4,77;461,0428;4,54
406,0304;4,85;433,3619;4,81;461,0097;3,49
406,0258;4,85;433,3444;4,81;460,9993;4,55
405,8748;4,86;433,3234;4,82;460,9403;4,56
405,3147;4,93;433,2406;4,83;460,8733;4,57
405,1402;4,95;433,0759;4,85;460,8684;4,58
404,9838;4,97;433;4,84;460,8228;4,59
404,9781;4,97;433;4,85;460,7469;4,59
404,8993;4,98;432,9406;4,87;460,7469;4,59
404,8012;4,99;432,9278;4,87;460,7469;4,59
404,6443;5,01;432,7631;4,89;460,6156;4,63
404,5973;5,02;432,5894;4,91;460,5819;4,64
404,3568;5,05;432,5417;4,92;460,4412;4,67
404,2831;5,05;432,3942;4,94;460,3982;4,7
404,2261;5,06;432,3838;4,94;460,2664;4,73
404,2207;5,06;432,2295;4,96;460,2189;4,75
404,1402;5,07;432,1817;4,97;460,1404;4,76
404,1232;5,08;432;4,98;460,1404;4,76
403,9847;5,09;431,8941;5,01;460,063;4,79
403,9844;5,09;431,8678;5,01;459,7634;4,84
403,9646;5,09;431,4423;5,06;459,7133;4,84
403,9549;5,1;431,3601;5,07;459,5919;4,86
403,7584;5,12;431,1756;5,1;459,5799;4,86
403,6205;5,14;431,1551;5,1;459,386;4,88
403,5624;5,14;430,9858;5,13;459,2882;4,9
403,2202;5,19;430,3707;5,21;459,1527;4,91
402,8153;5,24;430,3416;5,21;459,0545;4,93
402,7919;5,24;430,2665;5,22;458,9588;4,95
402,3925;5,29;430,2614;5,22;458,8111;4,97
402,1215;5,33;430,0622;5,25;458,4866;5,01
402,0839;5,33;429,8308;5,28;458,2089;5,07
402,0181;5,34;429,1894;5,36;458,2028;5,07
402;5,28;428,7474;5,42;458,1615;5,07
402;5,39;428,5497;5,44;458,1615;5,07
401,7854;5,37;428,5344;5,45;458,1407;5,08
401,7138;5,38;428,1036;5,51;458,0347;5,1
401,4283;5,42;428;5,55;457,8705;5,15
401,3764;5,43;427,9859;5,53;457,8143;5,16
401,2047;5,45;427,9168;5,53;457,8128;5,16
400,9975;5,48;427,8402;5,54;457,7823;5,16
400,9726;5,48;427,7964;5,55;457,4155;5,26
400,8856;5,49;427,7503;5,56;457,3072;5,27
400,7473;5,51;427,7336;5,56;457,24;5,29
400,5446;5,54;427,5617;5,58;457,082;3,64
400,4371;5,55;427,3699;5,61;456,7454;5,34
400,3522;5,57;427,3349;5,62;456,6621;5,34
400,35;5,57;427,0669;5,65;456,6316;5,35
400,2341;5,58;427;5,7;456,4881;5,37
400,0495;5,61;426,9953;5,66;456,4881;5,37
400;5,62;426,8706;5,68;456,4012;5,38
399,9523;5,62;426,7988;5,69;456,3966;5,38
399,9343;5,62;426,7143;5,7;456,1203;5,43
399,8912;5,63;426,4652;5,74;456,0958;5,43
399,4924;5,68;426,4362;5,74;456,0925;5,43
399,3974;5,69;426,1967;5,77;455,7723;5,49
399,3524;5,7;425,8537;5,82;455,762;5,49
399,2509;5,71;425,8211;5,83;455,6768;5,51
398,9966;5,75;425,8211;5,83;455,376;5,55
398,9227;5,76;425,8018;5,83;455,1996;5,6
398,9013;5,76;425,7793;5,84;455,1708;5,6
398,8182;5,77;425,6894;5,85;455,1087;5,61
398,7386;5,78;425,6894;5,85;455,0699;5,62
398,7386;5,78;425,4738;5,88;454,9439;5,65
398,5652;5,81;425,4428;5,88;454,9439;5,65
398,5393;5,81;425,4019;5,89;454,9008;5,66
398,4603;5,82;425,1253;5,92;454,8983;5,67
398,3772;5,83;425,1075;5,93;454,8563;5,68
398,3485;5,83;425;5,89;454,7887;5,69
398,3403;5,84;424,9977;5,95;454,7691;5,7
398,3135;5,84;424,9751;5,95;454,7691;5,7
398,1612;5,86;424,8594;5,96;454,6431;5,72
